CATEGORY,SUBCATEGORY,BRAND,PRODUCT DESCRIPTION,SERVICE DESCRIPTION,SERVICE CATEGORY,PRODUCT/SERVICE PART NUMBER, MSRP ,DIR Customer Discount % off MSRP, DIR Customer Price* ,AVERAGE BRAND DISCOUNT,Fortinet Discount Category,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-6 GB/Day of Logs),N/A,N/A,FC1-10-LV0VM-149-02-12, $720.00 ,15.00%, $616.59 ,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-6 GB/Day of Logs),N/A,N/A,FC1-10-LV0VM-149-02-36," $1,890.00 ",15.00%," $1,618.55 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-6 GB/Day of Logs),N/A,N/A,FC1-10-LV0VM-149-02-60," $3,150.00 ",15.00%," $2,697.58 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-11 GB/Day of Logs),N/A,N/A,FC2-10-LV0VM-149-02-12," $1,080.00 ",15.00%, $924.89 ,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-11 GB/Day of Logs),N/A,N/A,FC2-10-LV0VM-149-02-36," $2,835.00 ",15.00%," $2,427.82 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-11 GB/Day of Logs),N/A,N/A,FC2-10-LV0VM-149-02-60," $4,725.00 ",15.00%," $4,046.37 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-26 GB/Day of Logs),N/A,N/A,FC3-10-LV0VM-149-02-12," $1,660.00 ",15.00%," $1,421.58 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-26 GB/Day of Logs),N/A,N/A,FC3-10-LV0VM-149-02-36," $4,357.50 ",15.00%," $3,731.65 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-26 GB/Day of Logs),N/A,N/A,FC3-10-LV0VM-149-02-60," $7,262.50 ",15.00%," $6,219.42 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-Unlimited GB/Day of Logs),N/A,N/A,FC4-10-LV0VM-149-02-12," $22,360.00 ",15.00%," $19,148.55 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-Unlimited GB/Day of Logs),N/A,N/A,FC4-10-LV0VM-149-02-36," $58,695.00 ",15.00%," $50,264.93 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-Unlimited GB/Day of Logs),N/A,N/A,FC4-10-LV0VM-149-02-60," $97,825.00 ",15.00%," $83,774.88 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-101 GB/Day of Logs),N/A,N/A,FC5-10-LV0VM-149-02-12," $3,860.00 ",15.00%," $3,305.61 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-101 GB/Day of Logs),N/A,N/A,FC5-10-LV0VM-149-02-36," $10,132.50 ",15.00%," $8,677.22 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-101 GB/Day of Logs),N/A,N/A,FC5-10-LV0VM-149-02-60," $16,887.50 ",15.00%," $14,462.03 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-501 GB/Day of Logs),N/A,N/A,FC6-10-LV0VM-149-02-12," $5,360.00 ",15.00%," $4,590.17 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-501 GB/Day of Logs),N/A,N/A,FC6-10-LV0VM-149-02-36," $14,070.00 ",15.00%," $12,049.20 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-501 GB/Day of Logs),N/A,N/A,FC6-10-LV0VM-149-02-60," $23,450.00 ",15.00%," $20,081.99 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-2001 GB/Day of Logs),N/A,N/A,FC7-10-LV0VM-149-02-12," $16,360.00 ",15.00%," $14,010.30 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-2001 GB/Day of Logs),N/A,N/A,FC7-10-LV0VM-149-02-36," $42,945.00 ",15.00%," $36,777.02 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Term License,Fortinet,FortiAnalyzer-VM Support Subscription license for the FortiGuard Indicator of Compromise (IOC) (for 1-2001 GB/Day of Logs),N/A,N/A,FC7-10-LV0VM-149-02-60," $71,575.00 ",15.00%," $61,295.04 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-6 GB/Day of Logs),Software Maintenance ,FC1-10-LV0VM-248-02-12, $760.00 ,15.00%, $650.85 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-6 GB/Day of Logs),Software Maintenance ,FC1-10-LV0VM-248-02-36," $1,995.00 ",15.00%," $1,708.47 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-6 GB/Day of Logs),Software Maintenance ,FC1-10-LV0VM-248-02-60," $3,325.00 ",15.00%," $2,847.45 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-11 GB/Day of Logs),Software Maintenance ,FC2-10-LV0VM-248-02-12," $1,160.00 ",15.00%, $993.40 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-11 GB/Day of Logs),Software Maintenance ,FC2-10-LV0VM-248-02-36," $3,045.00 ",15.00%," $2,607.66 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-11 GB/Day of Logs),Software Maintenance ,FC2-10-LV0VM-248-02-60," $5,075.00 ",15.00%," $4,346.10 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-26 GB/Day of Logs),Software Maintenance ,FC3-10-LV0VM-248-02-12," $1,960.00 ",15.00%," $1,678.50 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-26 GB/Day of Logs),Software Maintenance ,FC3-10-LV0VM-248-02-36," $5,145.00 ",15.00%," $4,406.05 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-26 GB/Day of Logs),Software Maintenance ,FC3-10-LV0VM-248-02-60," $8,575.00 ",15.00%," $7,343.42 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-Unlimited GB/Day of Logs),Software Maintenance ,FC4-10-LV0VM-248-02-12," $7,500.00 ",15.00%," $6,422.81 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-Unlimited GB/Day of Logs),Software Maintenance ,FC4-10-LV0VM-248-02-36," $19,687.50 ",15.00%," $16,859.88 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
